Name,Author,User Rating,Reviews,Price,Year,Genre,Avg rating,Highest  rated book,  rated book,Better Rating,Outliers
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8.00,08/07/1905,Non Fiction,4.618363636,4.9,3.3,,
11/22/63: A Novel,Stephen King,4.6,2052,22.00,03/07/1905,Fiction,4.618214936,,,,
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15.00,10/07/1905,Non Fiction,4.618248175,,,,
1984 (Signet Classics),George Orwell,4.7,21424,6.00,09/07/1905,Fiction,4.61809872,,,,
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12.00,11/07/1905,Non Fiction,4.617948718,,,,
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11.00,03/07/1905,Fiction,4.617614679,,,,
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30.00,06/07/1905,Fiction,4.618014706,,,,
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15.00,09/07/1905,Fiction,4.61786372,,,,
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3.00,10/07/1905,Non Fiction,4.617712177,,,,
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8.00,08/07/1905,Fiction,4.617560074,,,,
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8.00,09/07/1905,Fiction,4.617592593,,,,
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2.00,02/07/1905,Non Fiction,4.617625232,,,,
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32.00,03/07/1905,Non Fiction,4.617657993,,,,
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5.00,10/07/1905,Fiction,4.617690875,,,,
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,17.00,01/07/1905,Non Fiction,4.617910448,,,,
"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,4.5,2313,4.00,08/07/1905,Non Fiction,4.617943925,,,,
Adult Coloring Book: Stress Relieving Animal Designs,Blue Star Coloring,4.6,2925,6.00,07/07/1905,Non Fiction,4.618164794,,,,
Adult Coloring Book: Stress Relieving Patterns,Blue Star Coloring,4.4,2951,6.00,07/07/1905,Non Fiction,4.618198874,,,,
"Adult Coloring Books: A Coloring Book for Adults Featuring Mandalas and Henna Inspired Flowers, Animals, and Paisley…",Coloring Books for Adults,4.5,2426,8.00,07/07/1905,Non Fiction,4.618609023,,,,
Alexander Hamilton,Ron Chernow,4.8,9198,13.00,08/07/1905,Non Fiction,4.618832392,,,,
All the Light We Cannot See,Anthony Doerr,4.6,36348,14.00,06/07/1905,Fiction,4.618490566,,,,
All the Light We Cannot See,Anthony Doerr,4.6,36348,14.00,07/07/1905,Fiction,4.61852552,,,,
Allegiant,Veronica Roth,3.9,6310,13.00,05/07/1905,Fiction,4.618560606,,,,
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,9.00,07/07/1905,Non Fiction,4.619924099,,,,
And the Mountains Echoed,Khaled Hosseini,4.3,12159,13.00,05/07/1905,Fiction,4.619961977,,,,
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,798,5.00,01/07/1905,Non Fiction,4.620571429,,,,
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,9.00,09/07/1905,Non Fiction,4.620610687,,,,
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14.00,02/07/1905,Non Fiction,4.620458891,,,,
Baby Touch and Feel: Animals,DK,4.6,5360,5.00,07/07/1905,Non Fiction,4.621264368,,,,
Balance (Angie's Extreme Stress Menders),Angie Grace,4.6,1909,11.00,07/07/1905,Non Fiction,4.621305182,,,,
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,1296,24.00,04/07/1905,Non Fiction,4.621346154,,,,
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,615,21.00,02/07/1905,Non Fiction,4.621001927,,,,
Becoming,Michelle Obama,4.8,61133,11.00,10/07/1905,Non Fiction,4.620849421,,,,
Becoming,Michelle Obama,4.8,61133,11.00,11/07/1905,Non Fiction,4.620502901,,,,
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,15.00,07/07/1905,Non Fiction,4.620155039,,,,
Between the World and Me,Ta-Nehisi Coates,4.7,10070,13.00,07/07/1905,Non Fiction,4.619805825,,,,
